SpecificConductivity,SampleID,Ablabesmyia,Acentrella,Acerpenna,Acroneuria,Agapetus,Allocapnia,Alloperla,Ameletus,Amphinemura,Anopheles,Antocha,Asellus,Atherix,Atrichopogon,Baetis,Baetisca,Bezzia,Boyeria,Brachypremna,Brillia,Caecidotea,Caenis,Cambarus,Cardiocladius,Centroptilum,Ceratopsyche,Chaetocladius,Chelifera,Cheumatopsyche,Chimarra,Chrysops,Cinygmula,Cladotanytarsus,Clinocera,Clioperla,Conchapelopia,Cordulegaster,Corydalus,Corynoneura,Crangonyx,Cricotopus,Cryptochironomus,Cultus,Dasyhelea,Demicryptochironomus,Diamesa,Dicranota,Dicrotendipes,Diphetor,Diplectrona,Diplocladius,Diploperla,Dixa,Dolophilodes,Drunella,Dubiraphia,Eccoptura,Ectopria,Epeorus,Ephemera,Ephemerella,Eukiefferiella,Eurylophella,Gammarus,Glossosoma,Goera,Haploperla,Heleniella,Helichus,Hemerodromia,Heptagenia,Hexatoma,Hydroporus,Hydropsyche,Hydroptila,Isonychia,Isoperla,Krenopelopia,Krenosmittia,Lanthus,Larsia,Lepidostoma,Leptophlebia,Leucrocuta,Leuctra,Limnophila,Limnophyes,Limonia,Lirceus,Lype,Maccaffertium,Macronychus,Malirekus,Microcylloepus,Micropsectra,Microtendipes,Microvelia,Molophilus,Natarsia,Neophylax,Neureclipsis,Nigronia,Nilotanypus,Nixe,Ochrotrichia,Optioservus,Orconectes,Ormosia,Orthocladius,Oulimnius,Pagastia,Paracapnia,Parachaetocladius,Paracladopelma,Paragnetina,Parakiefferiella,Paraleptophlebia,Parametriocnemus,Paraphaenocladius,Paratanytarsus,Peltoperla,Perlesta,Phaenopsectra,Physella,Pisidium,Platysmittia,Plauditus,Polycentropus,Polypedilum,Potthastia,Procladius,Procloeon,Promoresia,Prosimulium,Prostoia,Psephenus,Pseudochironomus,Pseudolimnophila,Pseudorthocladius,Psilometriocnemus,Psychomyia,Pteronarcys,Pycnopsyche,Remenus,Rhagovelia,Rheocricotopus,Rheopelopia,Rheotanytarsus,Rhyacophila,Serratella,Sialis,Simulium,Stempellina,Stempellinella,Stenacron,Stenelmis,Stenonema,Strophopteryx,Stylogomphus,Sublettea,Sweltsa,Tabanus,Taeniopteryx,Tallaperla,Tanytarsus,Thienemanniella,Thienemannimyia,Timpanoga,Tipula,Tribelos,Tvetenia,Utaperla,Wormaldia,Yugus,Zavrelia,Zavrelimyia
94,546,0,0.006493506,0,0.071428571,0,0,0,0,0,0,0,0,0,0,0.019480519,0,0,0,0,0,0,0,0,0,0,0,0,0,0.103896104,0,0,0,0,0,0,0,0,0,0,0,0.012987013,0,0,0,0,0,0.019480519,0,0.006493506,0,0,0,0,0.350649351,0,0,0,0,0,0,0,0,0,0,0.006493506,0,0,0,0,0,0,0.006493506,0,0.006493506,0,0,0,0,0,0,0,0,0,0.006493506,0.194805195,0,0,0,0,0,0,0,0.006493506,0,0,0,0,0,0,0,0,0.006493506,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.025974026,0,0,0,0,0,0,0,0,0,0,0.025974026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.012987013,0,0,0,0,0.038961039,0,0,0,0,0,0,0,0,0.006493506,0.012987013,0,0,0,0,0,0,0,0,0
46,589,0,0,0,0.004484305,0,0,0,0,0,0,0,0,0,0,0.053811659,0,0,0,0,0,0,0,0.00896861,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01793722,0,0,0.022421525,0,0,0,0.00896861,0,0,0,0.01793722,0.022421525,0,0,0,0,0,0,0,0,0,0,0,0,0.004484305,0,0.040358744,0,0,0,0,0,0,0,0,0,0,0.452914798,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004484305,0,0,0.00896861,0,0,0,0.004484305,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00896861,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.040358744,0,0.004484305,0,0.00896861,0,0,0,0,0.004484305
58,695,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.093137255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.029411765,0,0.004901961,0.009803922,0,0,0,0.004901961,0,0,0,0,0.004901961,0,0,0.009803922,0,0,0.009803922,0,0,0,0,0,0,0.029411765,0,0.029411765,0,0,0,0,0,0,0,0,0,0,0.460784314,0,0,0,0,0,0,0,0.009803922,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004901961,0,0,0,0,0.029411765,0,0,0,0,0,0,0,0,0,0.004901961,0.004901961,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.029411765,0,0,0.024509804,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.009803922,0,0,0,0.004901961,0,0.009803922,0,0,0
17,696,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.196531792,0,0,0,0,0,0,0,0.005780347,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005780347,0,0,0.011560694,0,0,0,0,0,0,0.005780347,0,0.283236994,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.057803468,0,0,0,0,0,0,0,0.028901734,0,0.01734104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.011560694,0,0,0.005780347,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.052023121,0,0,0.011560694,0,0,0,0,0,0,0,0,0,0,0,0.132947977,0,0,0,0,0,0,0.023121387,0,0,0.005780347,0,0
39,719,0,0,0,0.034482759,0,0,0,0,0,0,0,0,0,0,0.004926108,0,0,0.004926108,0,0,0,0,0.02955665,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004926108,0.014778325,0,0,0.009852217,0.014778325,0,0,0,0.004926108,0,0,0,0,0.004926108,0,0,0,0,0,0,0,0,0.019704433,0,0.137931034,0,0,0,0,0,0,0,0,0,0,0.408866995,0,0,0,0,0,0,0,0,0,0,0.019704433,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.024630542,0,0,0.02955665,0,0,0,0,0,0,0.004926108,0.044334975,0,0,0,0,0,0,0,0,0,0,0,0,0.034482759,0.004926108,0,0,0,0,0,0.004926108,0,0,0,0,0,0,0,0.024630542,0,0.004926108,0,0,0,0,0,0,0,0.014778325,0,0,0,0,0,0,0,0,0
40,721,0,0,0,0.044642857,0,0,0,0,0,0,0,0,0,0,0.080357143,0,0,0.008928571,0,0,0,0,0.022321429,0,0,0,0,0,0.004464286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008928571,0,0,0.035714286,0,0,0,0.013392857,0.004464286,0,0,0,0,0,0,0,0.004464286,0,0,0,0,0,0.013392857,0,0.013392857,0.004464286,0,0.098214286,0,0,0,0,0,0,0,0,0,0,0.120535714,0,0,0,0,0,0,0,0.017857143,0,0,0,0,0,0,0,0,0,0,0,0,0.008928571,0,0,0,0.004464286,0,0,0,0,0,0,0,0.107142857,0,0,0.004464286,0,0,0,0,0,0,0,0.071428571,0,0,0,0,0,0,0,0,0,0,0,0,0.058035714,0,0,0,0,0,0.004464286,0.004464286,0,0,0,0,0.004464286,0,0.004464286,0.013392857,0,0,0,0,0,0,0,0,0,0.044642857,0,0,0,0.022321429,0,0,0,0,0
161,790,0,0,0,0,0,0,0,0,0.018656716,0,0,0,0,0,0.23880597,0,0,0,0,0.003731343,0,0,0,0,0,0,0,0,0.014925373,0.003731343,0,0,0,0,0,0,0,0,0,0,0.003731343,0,0,0,0,0.003731343,0,0,0.007462687,0,0,0,0,0,0,0,0.007462687,0,0.003731343,0,0.194029851,0.007462687,0.003731343,0,0,0,0.141791045,0,0,0,0,0.018656716,0,0.003731343,0,0,0.007462687,0,0,0,0,0,0,0,0.003731343,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01119403,0,0,0.029850746,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003731343,0,0,0.037313433,0,0,0,0.037313433,0,0,0,0,0,0,0,0,0,0,0,0,0.003731343,0,0,0.007462687,0,0,0,0.014925373,0.026119403,0,0,0,0,0,0,0,0,0,0,0,0.01119403,0,0,0,0,0,0,0
142,796,0,0.004032258,0,0,0,0,0,0.004032258,0.028225806,0,0,0,0,0,0.532258065,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004032258,0,0,0,0.120967742,0,0,0,0,0,0,0,0,0,0,0.004032258,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.137096774,0,0,0,0,0.008064516,0,0,0,0,0,0,0,0.016129032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008064516,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.024193548,0,0.004032258,0,0,0,0,0,0,0.004032258
26,1164,0,0,0,0.004149378,0,0,0,0,0,0,0,0,0,0,0.12033195,0,0,0,0,0,0,0,0.008298755,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.029045643,0,0,0,0.195020747,0,0,0,0,0.01659751,0,0,0,0,0,0,0,0,0,0,0.008298755,0,0.004149378,0,0.020746888,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.012448133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.020746888,0,0,0,0,0.10373444,0,0,0,0,0,0,0,0,0,0,0.037344398,0,0,0,0,0,0,0,0,0,0,0,0,0.004149378,0,0,0,0,0,0,0.095435685,0,0,0.008298755,0,0,0,0,0,0,0,0,0,0,0,0.008298755,0.024896266,0,0,0,0,0,0,0,0,0,0,0
48,1224,0,0,0,0.052023121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005780347,0,0,0,0,0,0,0.005780347,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.034682081,0,0,0.138728324,0,0,0,0.225433526,0,0,0,0,0.01734104,0.005780347,0,0,0,0,0,0,0,0,0,0.011560694,0,0.028901734,0,0.115606936,0,0,0,0,0,0,0,0,0,0,0.028901734,0,0,0,0,0,0,0,0,0,0.023121387,0,0,0,0,0,0,0.028901734,0,0,0,0.011560694,0,0,0.005780347,0.011560694,0,0,0.005780347,0,0,0,0,0.01734104,0,0,0,0,0,0,0,0,0,0,0.023121387,0,0,0,0.023121387,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.011560694,0.005780347,0,0,0.011560694,0,0,0,0.01734104,0.023121387,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005780347,0,0,0,0,0.005780347
40,1232,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02283105,0,0,0,0,0,0,0,0.00456621,0,0,0,0.00913242,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01369863,0,0,0.091324201,0,0,0,0.086757991,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04109589,0,0.178082192,0,0,0,0,0,0,0,0,0,0,0.02739726,0.00456621,0,0,0,0,0,0,0.01826484,0,0.00913242,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00913242,0,0,0,0,0.01826484,0,0,0,0,0,0,0,0,0,0.02739726,0.00913242,0,0,0,0,0,0,0,0,0,0,0,0,0.02739726,0,0,0,0,0,0,0.063926941,0,0,0,0,0,0,0,0.01369863,0,0,0,0.068493151,0,0,0,0.00456621,0,0,0,0,0,0,0,0,0,0,0
92,1233,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01953125,0,0,0,0,0,0,0,0.00390625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01953125,0,0,0.09375,0,0,0,0.109375,0,0,0,0,0.00390625,0,0,0,0,0,0.00390625,0,0,0,0,0,0,0.00390625,0,0.37890625,0,0,0,0,0,0,0,0,0,0,0.08203125,0,0,0,0,0,0,0,0.0078125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01171875,0,0,0,0,0,0,0,0,0,0,0.01171875,0,0,0,0,0,0,0,0,0,0,0,0,0.0234375,0,0,0,0,0,0,0.0234375,0,0.00390625,0,0,0,0,0,0.015625,0,0,0,0.015625,0,0,0.0078125,0,0,0,0,0,0,0,0,0,0,0,0
59,1284,0,0,0,0,0,0,0,0,0.013333333,0,0,0,0,0,0.168888889,0,0,0,0,0,0,0,0.035555556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004444444,0,0,0.035555556,0,0,0,0.017777778,0.022222222,0,0.004444444,0,0.022222222,0,0,0,0,0,0,0,0,0,0.004444444,0,0,0.008888889,0,0,0,0,0,0,0,0,0,0,0,0,0.311111111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.022222222,0,0,0.004444444,0,0,0,0,0.013333333,0,0,0,0,0,0,0,0,0,0.017777778,0.004444444,0,0,0.022222222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004444444,0.008888889,0,0,0,0,0,0,0,0,0.004444444,0.044444444,0,0.008888889,0,0.008888889,0,0,0,0,0
57,1285,0,0.028806584,0,0.008230453,0,0,0.012345679,0,0.004115226,0,0,0,0,0,0.106995885,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004115226,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.016460905,0,0,0.016460905,0,0,0,0.041152263,0.028806584,0,0,0,0,0.004115226,0,0,0.008230453,0,0,0,0,0,0,0.016460905,0,0.012345679,0,0.004115226,0,0.004115226,0,0,0,0,0,0,0,0,0.164609053,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004115226,0,0,0,0,0,0,0,0.028806584,0,0,0,0,0,0,0,0,0,0,0.004115226,0,0,0.012345679,0,0,0,0.004115226,0,0,0,0,0,0,0,0,0,0,0,0,0.008230453,0,0,0,0,0,0,0,0.004115226,0,0,0,0,0,0,0.004115226,0,0,0.032921811,0,0,0,0.016460905,0,0,0,0,0
80,1327,0,0,0,0,0.012244898,0,0,0.004081633,0.012244898,0,0,0,0,0,0.302040816,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.012244898,0,0,0,0.012244898,0.048979592,0,0,0.012244898,0.044897959,0,0.06122449,0,0.048979592,0,0,0,0,0,0,0,0,0,0,0,0,0.004081633,0,0,0,0,0,0.004081633,0,0,0.134693878,0,0,0,0,0,0,0,0,0,0,0.004081633,0,0,0,0,0,0,0,0,0,0.048979592,0,0,0,0,0,0,0,0,0,0,0.016326531,0.004081633,0,0,0,0,0,0,0,0,0,0.012244898,0.008163265,0,0,0.008163265,0,0,0,0,0,0.008163265,0,0,0,0,0,0.012244898,0,0,0,0,0,0,0,0.004081633,0,0,0,0,0.004081633,0,0,0,0,0,0,0,0,0,0.028571429,0,0.004081633,0,0,0,0,0,0,0
69,1336,0,0.003676471,0,0,0,0,0,0,0,0,0.003676471,0,0,0,0.117647059,0,0,0,0,0,0,0,0.003676471,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003676471,0,0,0.025735294,0,0,0,0.007352941,0.136029412,0,0.014705882,0.003676471,0.003676471,0.003676471,0.022058824,0,0.003676471,0,0,0,0,0.003676471,0,0,0,0.036764706,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007352941,0,0,0,0,0,0,0,0,0,0,0,0,0,0.121323529,0,0,0,0,0,0.003676471,0,0.007352941,0,0,0,0,0,0,0,0,0,0.003676471,0.007352941,0,0,0,0,0,0,0.077205882,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003676471,0,0.036764706,0.007352941,0,0.003676471,0,0,0,0,0,0.007352941,0,0.007352941,0,0,0,0,0,0,0,0,0.003676471
